qm-win2k3-03 mochitest intermittently leaking huge amounts
One of the Win32 unittest boxes is occasionally leaking a huge amount of objects during mochitest. I'm still tracking down the first occurrence of this, it's been doing this for a while. Sample output:

TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 294985 bytes during test execution (should have leaked no more than 0 bytes)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 106 instances of AtomImpl with size 16 bytes each (1696 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of BackstagePass with size 20 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of CSSImportRuleImpl with size 44 bytes each (132 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 46 instances of CSSImportantRule with size 12 bytes each (552 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of CSSLoaderImpl with size 188 bytes each (376 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 10 instances of CSSNameSpaceRuleImpl with size 40 bytes each (400 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of CSSParserImpl with size 4828 bytes each (14484 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 417 instances of CSSStyleRuleImpl with size 40 bytes each (16680 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of DOMCSSDeclarationImpl with size 16 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of DOMCSSStyleRuleImpl with size 24 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 7 instances of FontEntry with size 80 bytes each (560 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of HTMLCSSStyleSheetImpl with size 28 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of HoldJSObjects with size 4 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of LiteralImpl with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of NameSpaceManagerImpl with size 44 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of PrincipalHolder with size 12 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of RDFServiceImpl with size 272 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 8 instances of StringAdopt with size 1 bytes each (8 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of ThreadShutdownObserver with size 12 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of XPCContext with size 40 bytes each (120 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 11 instances of XPCNativeInterface with size 24 bytes each (264 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 11 instances of XPCNativeMember with size 12 bytes each (132 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 34 instances of XPCNativeScriptableInfo with size 8 bytes each (272 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of XPCNativeScriptableShared with size 108 bytes each (216 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 10 instances of XPCNativeSet with size 8 bytes each (80 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 68 instances of XPCWrappedNative with size 48 bytes each (3264 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 35 instances of XPCWrappedNativeProto with size 28 bytes each (980 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 34 instances of XPCWrappedNativeScope with size 60 bytes each (2040 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of gfxFont with size 88 bytes each (528 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of gfxGlyphExtents with size 40 bytes each (120 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of gfxImageFrame with size 56 bytes each (672 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 84 instances of gfxTextRun with size 80 bytes each (6720 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 17 instances of gfxTextRunFactory with size 8 bytes each (136 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of imgContainer with size 84 bytes each (1008 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of imgLoader with size 12 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of imgRequest with size 136 bytes each (1632 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of imgRequestProxy with size 32 bytes each (384 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 4 instances of mozStorageConnection with size 60 bytes each (240 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of mozStorageFunctionGetUnreversedHost with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of mozStorageService with size 24 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 46 instances of mozStorageStatement with size 32 bytes each (1472 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsAnnotationService with size 80 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 65 instances of nsAtomList with size 8 bytes each (520 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 230 instances of nsAttrSelector with size 28 bytes each (6440 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsBaseAppShell with size 60 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsBaseURLParser with size 8 bytes each (16 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 20 instances of nsBasicDecoderSupport with size 8 bytes each (160 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsBasicEncoder with size 12 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsBidiKeyboard with size 40 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsBindingManager with size 252 bytes each (504 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsBoxLayout with size 8 bytes each (16 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSAural with size 136 bytes each (816 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSBreaks with size 32 bytes each (192 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSColor with size 80 bytes each (480 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSColumn with size 24 bytes each (144 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSContent with size 24 bytes each (144 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 417 instances of nsCSSDeclaration with size 32 bytes each (13344 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSDisplay with size 136 bytes each (816 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSFont with size 88 bytes each (528 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSList with size 56 bytes each (336 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSMargin with size 532 bytes each (3192 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 4 instances of nsCSSMediaRule with size 36 bytes each (144 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCSSOMFactory with size 8 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSPage with size 24 bytes each (144 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSPosition with size 96 bytes each (576 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsCSSQuotes with size 20 bytes each (40 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 61 instances of nsCSSRect with size 32 bytes each (1952 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 434 instances of nsCSSRule with size 16 bytes each (6944 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSSVG with size 252 bytes each (1512 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of nsCSSScanner with size 1000 bytes each (3000 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1371 instances of nsCSSSelector with size 36 bytes each (49356 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 927 instances of nsCSSSelectorList with size 12 bytes each (11124 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 7 instances of nsCSSStyleSheet with size 76 bytes each (532 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 7 instances of nsCSSStyleSheetInner with size 76 bytes each (532 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSTable with size 80 bytes each (480 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSText with size 84 bytes each (504 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instances of nsCSSUserInterface with size 52 bytes each (312 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 10 instances of nsCSSValue::Image with size 24 bytes each (240 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 157 instances of nsCSSValue::URL with size 20 bytes each (3140 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 61 instances of nsCSSValueList with size 12 bytes each (732 bytes total)
