spanking the socket table loading images
Just out of curiousity I was monitoring my masquerading box and when I loaded
www.salon.com I was amazed to see the number of open connections explode.  We
shouldn't be opening these many connections.  It's obscene.

This is my socket table after loading www.salon.com with the fresh cache.  For
what it's worth deleting the cache didn't seem to make that much of a difference
in terms of what it does to the socket table.

Active Internet connections (w/o servers)
Proto Recv-Q Send-Q Local Address           Foreign Address         State
tcp        0      0 192.168.0.2:43005       THERE-IS-NO-CABAL.:ircd ESTABLISHED
tcp        0      0 192.168.0.2:42548       sabre.velocet.net:ircd  ESTABLISHED
tcp        0      0 192.168.0.2:42524       199.183.24.254:ssh      ESTABLISHED
tcp        0      0 192.168.0.2:42549       komodo.mozilla.org:ircd ESTABLISHED
tcp        0      0 192.168.0.2:43177       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43176       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43179       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43178       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43169       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43168       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43171       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43170       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43173       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43172       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43175       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43174       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43195       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43196       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43188       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43190       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43161       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43160       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43163       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43162       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43165       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43164       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43167       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43166       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43155       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43154       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43157       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43156       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43159       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43158       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43201       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43200       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43202       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43204       images.salon.com:http   TIME_WAIT
tcp        0      0 192.168.0.2:43207       63.211.169.169:http     TIME_WAIT
tcp        0      0 192.168.0.2:43205       63.211.169.169:http     TIME_WAIT
tcp        0      0 192.168.0.2:43203       63.211.169.169:http     TIME_WAIT
tcp        0      0 192.168.0.2:43192       63.211.169.169:http     TIME_WAIT
tcp        0      0 192.168.0.2:43185       63.211.169.169:http     TIME_WAIT
tcp        0      0 192.168.0.2:43182       63.211.169.169:http     TIME_WAIT
tcp        0      0 192.168.0.2:43181       63.211.169.169:http     TIME_WAIT
tcp        0      0 192.168.0.2:43206       63.211.169.168:http     TIME_WAIT
tcp        0      0 192.168.0.2:43198       63.211.169.168:http     TIME_WAIT
tcp        0      0 192.168.0.2:43197       63.211.169.168:http     TIME_WAIT
tcp        0      0 192.168.0.2:43194       63.211.169.168:http     TIME_WAIT
tcp        0      0 192.168.0.2:43193       63.211.169.168:http     TIME_WAIT
tcp        0      0 192.168.0.2:43191       63.211.169.168:http     TIME_WAIT
tcp        0      0 192.168.0.2:43189       63.211.169.168:http     TIME_WAIT
tcp        0      0 192.168.0.2:43187       63.211.169.168:http     TIME_WAIT
tcp        0      0 192.168.0.2:43186       63.211.169.168:http     TIME_WAIT
tcp        0      0 192.168.0.2:43184       63.211.169.168:http     TIME_WAIT
tcp        0      0 192.168.0.2:43183       63.211.169.168:http     TIME_WAIT
