crash in hang | RtlpWaitOnCriticalSection | RtlDosApplyFileIsolationRedirection_Ustr | RtlDeNormalizeProcessParams | RtlAllocateMemoryBlockLookaside | LdrpLoadDll
This bug was filed from the Socorro interface and is 
report bp-32c7a822-d596-4eb2-b680-fb04d2150512.
=============================================================


Crashing Thread
Frame 	Module 	Signature 	Source
0 	ntdll.dll 	ZwWaitForSingleObject 	
1 	ntdll.dll 	RtlpWaitOnCriticalSection 	
2 	ntdll.dll 	RtlDosApplyFileIsolationRedirection_Ustr 	
3 	ntdll.dll 	RtlDeNormalizeProcessParams 	
4 	ntdll.dll 	RtlAllocateMemoryBlockLookaside 	
5 	ntdll.dll 	LdrpLoadDll 	
6 	rpcrt4.dll 	NdrpAsyncAbortCall(_RPC_ASYNC_STATE*, _NDR_ASYNC_MESSAGE*, unsigned long, int) 	
7 	setupapi.dll 	_GSHandlerCheck_SEH 	
8 	kernel32.dll 	RegDeleteTreeA 	
9 	kernelbase.dll 	RtlAnsiStringToUnicodeString 	
10 	setupapi.dll 	GetEmbeddedFlags 	
11 	kernelbase.dll 	CreateEventExW 	
12 	ntdll.dll 	LdrLoadDll 	
13 	setupapi.dll 	_GSHandlerCheck_SEH 	
14 	rpcrt4.dll 	NdrpAsyncAbortCall(_RPC_ASYNC_STATE*, _NDR_ASYNC_MESSAGE*, unsigned long, int) 	
15 	mozglue.dll 	`anonymous namespace'::patched_LdrLoadDll 	mozglue/build/WindowsDllBlocklist.cpp
16 	kernelbase.dll 	LoadLibraryExW 	
17 	mmdevapi.dll 	memcmp 	
18 	rpcrt4.dll 	NdrpAsyncAbortCall(_RPC_ASYNC_STATE*, _NDR_ASYNC_MESSAGE*, unsigned long, int) 	
19 	mmdevapi.dll 	memcmp 	
20 	rpcrt4.dll 	SID_CACHE::SID_CACHE() 	
21 	mmdevapi.dll 	memcmp 	
22 	mmdevapi.dll 	memcmp 	
23 	mmdevapi.dll 	memcmp 	
24 	mmdevapi.dll 	memcmp 	
