crash _purecall
This bug was filed from the Socorro interface and is 
report bp-c487df7e-750c-4d4b-8d93-d78b02110927 .
=============================================================

Reported by a Twitter user.

https://crash-stats.mozilla.com/report/list?signature=_purecall%20|%20base::ObjectWatcher::Watch::Run%28%29

Likely related to an extension. I need to figure out the correlation by hand since the correlation tab is not showing the data.

The crash reason is not something I am familiar with -  EXCEPTION_NONCONTINUABLE_EXCEPTION 

Frame 	Module 	Signature [Expand] 	Source
0 	ntdll.dll 	KiFastSystemCallRet 	
1 	ntdll.dll 	ZwWaitForSingleObject 	
2 	kernel32.dll 	WaitForSingleObjectEx 	
3 	kernel32.dll 	WaitForSingleObject 	
4 	xul.dll 	google_breakpad::ExceptionHandler::WriteMinidumpOnHandlerThread 	toolkit/crashreporter/google-breakpad/src/client/windows/handler/exception_handler.cc:764
5 	xul.dll 	google_breakpad::ExceptionHandler::HandlePureVirtualCall 	toolkit/crashreporter/google-breakpad/src/client/windows/handler/exception_handler.cc:708
6 	msvcr80.dll 	_purecall 	f:\\sp\\vctools\\crt_bld\\self_x86\\crt\\src\\purevirt.c:47
7 	xul.dll 	base::ObjectWatcher::Watch::Run 	ipc/chromium/src/base/object_watcher.cc:30
8 	xul.dll 	MessageLoop::RunTask 	ipc/chromium/src/base/message_loop.cc:318
9 	xul.dll 	MessageLoop::DeferOrRunPendingTask 	ipc/chromium/src/base/message_loop.cc:326
10 	xul.dll 	MessageLoop::DoWork 	ipc/chromium/src/base/message_loop.cc:426
11 	xul.dll 	base::MessagePumpForIO::DoRunLoop 	ipc/chromium/src/base/message_pump_win.cc:462
12 	xul.dll 	base::MessagePumpWin::RunWithDispatcher 	ipc/chromium/src/base/message_pump_win.cc:53
13 	xul.dll 	base::MessagePumpWin::Run 	ipc/chromium/src/base/message_pump_win.h:78
14 	xul.dll 	MessageLoop::RunHandler 	ipc/chromium/src/base/message_loop.cc:201
15 	xul.dll 	MessageLoop::Run 	ipc/chromium/src/base/message_loop.cc:175
16 	xul.dll 	base::Thread::ThreadMain 	ipc/chromium/src/base/thread.cc:156
17 	xul.dll 	`anonymous namespace'::ThreadFunc 	ipc/chromium/src/base/platform_thread_win.cc:26
18 	kernel32.dll 	BaseThreadStart
