Firefox "Not Responding" hang totally unexpected and not understandable, not possible for me to connect to other activity.
User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.12) Gecko/20050922 Firefox/1.0.7
Build Identifier: Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.7.12) Gecko/20050922 Firefox/1.0.7

iMac G5, Mac OS X 10.4.2, Earthlink Dial-up Connection.

The best I can do is provide a copy of an OS X Activity Monitor Sample of the Firefox Process while it was in the Not Responding state:

Analysis of sampling pid 1608 every 10.000000 milliseconds
Call graph:
    89 Thread_100f
      89 start
        89 start
          89 xre_main(int, char**, nsXREAppData const*)
            89 nsAppShell::Run()
              89 nsMacMessagePump::DoMessagePump()
                89 nsMacMessagePump::GetEvent(EventRecord&)
                  89 WaitNextEvent
                    89 WNEInternal
                      89 GetNextEventMatchingMask
                        89 GetOrPeekEvent
                          89 TryEventDispatcher
                            89 ToolboxEventDispatcher
                              89 SendEventToEventTarget
                                89 SendEventToEventTargetInternal(OpaqueEventRef*, OpaqueEventTargetRef*, HandlerCallRec*)
                                  89 DispatchEventToHandlers(EventTargetRec*, OpaqueEventRef*, HandlerCallRec*)
                                    89 ToolboxEventDispatcherHandler(OpaqueEventHandlerCallRef*, OpaqueEventRef*, void*)
                                      89 HandleMouseEvent(OpaqueEventRef*)
                                        89 HandleMouseEventForWindow(OpaqueWindowPtr*, OpaqueEventRef*, unsigned short)
                                          89 SendEventToEventTarget
                                            89 SendEventToEventTargetInternal(OpaqueEventRef*, OpaqueEventTargetRef*, HandlerCallRec*)
                                              89 DispatchEventToHandlers(EventTargetRec*, OpaqueEventRef*, HandlerCallRec*)
                                                89 BasicWindowHandler
                                                  89 HandleWindowClick
                                                    89 ForceActivate
                                                      89 ResetEventQueueIterators
                                                        89 EventIteratorReset
                                                          89 MPEnterCriticalRegion
                                                            89 pthread_cond_wait
                                                              89 semaphore_wait_signal_trap
                                                                89 semaphore_wait_signal_trap
    89 Thread_1103
      89 _pthread_body
        89 PR_GetSP
          89 nsThread::Main(void*)
            89 nsSocketTransportService::Run()
              89 nsSocketTransport::OnSocketReady(PRFileDesc*, short)
                89 nsSocketInputStream::OnSocketReady(unsigned)
                  89 nsHttpConnection::OnInputStreamReady(nsIAsyncInputStream*)
                    89 nsHttpConnection::CloseTransaction(nsAHttpTransaction*, unsigned)
                      89 nsPipeOutputStream::CloseWithStatus(unsigned)
                        89 nsPipe::OnPipeException(unsigned, int)
                          89 nsPipeEvents::~nsPipeEvents [unified]()
                            89 int CountLinebreaks<unsigned short>(unsigned short const*, int, char const*)
                              89 nsEventQueueImpl::PostEvent(PLEvent*)
                                89 PL_PostEvent
                                  89 PR_EnterMonitor
                                    89 pthread_mutex_lock
                                      89 semaphore_wait_signal_trap
                                        89 semaphore_wait_signal_trap
    89 Thread_1203
      89 _pthread_body
        89 JVM_GetClassMethodsCount
          89 JNI_CreateJavaVM_Impl
            89 JNI_CreateJavaVM_Impl
              89 mach_msg
                89 mach_msg_trap
                  89 mach_msg_trap
    89 Thread_1303
      89 _pthread_body
        89 JVM_GetClassMethodsCount
          89 JNI_CreateJavaVM_Impl
            89 JVM_Send
              89 JVM_FillInStackTrace
                89 JVM_NewInstance
                  89 mach_msg
                    89 mach_msg_trap
                      89 mach_msg_trap
    89 Thread_1403
      89 _pthread_body
        89 JVM_GetClassMethodsCount
          89 JVM_FindSignal
            89 JVM_GetMethodIxExceptionTableEntry
              89 JVM_IsSameClassPackage
                89 JVM_FindClassFromClass
                  89 JVM_GetCPClassNameUTF
                    89 JVM_CurrentTimeMillis
                      89 typeinfo name for std::bad_exception
                        89 0xe10868c
                          89 0xe10868c
                            89 0xe10a680
                              89 JVM_MonitorWait
                                89 JVM_MonitorNotify
                                  89 JVM_ArrayCopy
                                    89 JVM_NewInstance
                                      89 mach_msg
                                        89 mach_msg_trap
                                          89 mach_msg_trap
    89 Thread_1503
      89 _pthread_body
        89 JVM_GetClassMethodsCount
          89 JVM_FindSignal
            89 JVM_GetMethodIxExceptionTableEntry
              89 JVM_IsSameClassPackage
                89 JVM_FindClassFromClass
                  89 JVM_GetCPClassNameUTF
                    89 JVM_CurrentTimeMillis
                      89 typeinfo name for std::bad_exception
                        89 0xe1085cc
                          89 0xe1085cc
                            89 0xe10868c
                              89 0xe10a680
                                89 JVM_MonitorWait
                                  89 JVM_MonitorNotify
                                    89 JVM_ArrayCopy
                                      89 JVM_NewInstance
                                        89 mach_msg
                                          89 mach_msg_trap
                                            89 mach_msg_trap
    89 Thread_1603
      89 _pthread_body
        89 JVM_GetClassMethodsCount
          89 JVM_GetClassLoader
            89 JVM_GetClassLoader
              89 JVM_NewInstance
                89 mach_msg
                  89 mach_msg_trap
                    89 mach_msg_trap
    89 Thread_1703
      89 _pthread_body
        89 JVM_GetClassMethodsCount
          89 JVM_FindSignal
            89 JVM_InitProperties
              89 JVM_InitProperties
                89 JVM_FillInStackTrace
                  89 JVM_NewInstance
                    89 mach_msg
                      89 mach_msg_trap
                        89 mach_msg_trap
    89 Thread_1803
      89 _pthread_body
        89 JVM_GetClassMethodsCount
          89 JVM_FindSignal
            89 JVM_FindLoadedClass
              89 JVM_StartThread
                89 JVM_FillInStackTrace
                  89 JVM_NewInstance
                    89 mach_msg
                      89 mach_msg_trap
                        89 mach_msg_trap
    89 Thread_1903
      89 _pthread_body
        89 PR_GetSP
          89 nsThread::Main(void*)
            89 TimerThread::Run()
              89 nsTimerImpl::PostTimerEvent()
                89 nsEventQueueImpl::PostEvent(PLEvent*)
