Prebinding ineffective on 10.4.9 ppc
User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.8.1.3) Gecko/20070309 Firefox/2.0.0.3
Build Identifier: Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.8.1.3) Gecko/20070309 Firefox/2.0.0.3

Looks like a bunch of the dependent libraries for firefox aren't prebound, and the ones that are are out of date w.r.t. 10.4.9.

host238-% ./firefox-bin                /Applications/Firefox.app/Contents/MacOS
dyld: image uses flat-namespace so, parts of prebinding ignored /usr/lib/libgcc_s.1.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libnspr4.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libplds4.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libplc4.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libmozjs.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libxpcom_core.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libxpcom.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libsoftokn3.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libnss3.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libsmime3.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libssl3.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./libxpcom_compat.dylib
dyld: dependent libraries changed, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/./firefox-bin
dyld: image not prebound, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/components/libjsd.dylib
dyld: image not prebound, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/components/libmyspell.dylib
dyld: image not prebound, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/components/libspellchecker.dylib
dyld: image not prebound, so could not use prebinding in /Applications/Firefox.app/Contents/MacOS/components/libxpinstall.dylib
dyld: image not prebound, so could not use prebinding in /System/Library/TextEncodings/Unicode Encodings.bundle/Contents/MacOS/Unicode Encodings

Reproducible: Always
