Intermittent browser_computedview_original-source-link.js | A promise chain failed to handle a rejection:  - at resource://app/modules/devtools/SplitView.jsm:208 - TypeError: this._root.ownerDocument.defaultView is null
05:42:25     INFO -  8085 INFO TEST-START | chrome://mochitests/content/browser/browser/devtools/styleinspector/test/browser_computedview_original-source-link.js
05:42:26     INFO -  *************************
05:42:26     INFO -  A coding exception was thrown in a Promise resolution callback.
05:42:26     INFO -  See https://developer.mozilla.org/Mozilla/JavaScript_code_modules/Promise.jsm/Promise
05:42:26     INFO -  Full message: TypeError: this._root.ownerDocument.defaultView is null
05:42:26     INFO -  Full stack: ASV_appendItem@resource://app/modules/devtools/SplitView.jsm:208:7
05:42:26     INFO -  ASV_appendTemplatedItem@resource://app/modules/devtools/SplitView.jsm:244:5
05:42:26     INFO -  StyleEditorUI.prototype._sourceLoaded@resource://app/modules/devtools/StyleEditorUI.jsm:438:1
05:42:26     INFO -  StyleSheetEditor.prototype.fetchSource/</<@resource:///modules/devtools/StyleSheetEditor.jsm:251:11
05:42:26     INFO -  Handler.prototype.process@resource://gre/modules/Promise.jsm -> resource://gre/modules/Promise-backend.js:865:23
05:42:26     INFO -  this.PromiseWalker.walkerLoop@resource://gre/modules/Promise.jsm -> resource://gre/modules/Promise-backend.js:744:7
05:42:26     INFO -  *************************
05:42:27     INFO -  8086 INFO checking window state
05:42:27     INFO -  8087 INFO Turning the pref devtools.styleeditor.source-maps-enabled on
05:42:27     INFO -  8088 INFO Adding a new tab with URL: 'https://example.com/browser/browser/devtools/styleinspector/test/doc_sourcemaps.html'
05:42:27     INFO -  8089 INFO Loading the helper frame script chrome://mochitests/content/browser/browser/devtools/styleinspector/test/doc_frame_script.js
05:42:27     INFO -  8090 INFO Console message: [JavaScript Error: "The character encoding of the HTML document was not declared. The document will render with garbled text in some browser configurations if the document contains characters from outside the US-ASCII range. The character encoding of the page must be declared in the document or in the transfer protocol." {file: "https://example.com/browser/browser/devtools/styleinspector/test/doc_sourcemaps.html" line: 0}]
05:42:27     INFO -  8091 INFO URL 'https://example.com/browser/browser/devtools/styleinspector/test/doc_sourcemaps.html' loading complete
05:42:27     INFO -  8092 INFO Opening the inspector
05:42:27     INFO -  8093 INFO Opening the toolbox
05:42:27     INFO -  8094 INFO Console message: [JavaScript Warning: "XUL box for hbox element contained an inline span child, forcing all its children to be wrapped in a block." {file: "resource://gre/modules/commonjs/toolkit/loader.js -> resource://gre/modules/devtools/server/actors/highlighter.js" line: 629}]
05:42:27     INFO -  8095 INFO Making sure that the toolbox's frame is focused
05:42:27     INFO -  8096 INFO Waiting for the inspector to update
05:42:27     INFO -  8097 INFO Selecting the computedview sidebar
05:42:27     INFO -  8098 INFO Select the test node
05:42:27     INFO -  8099 INFO Selecting the node for 'div'
05:42:27     INFO -  8100 INFO Expanding the first property
05:42:27     INFO -  8101 INFO Expanding property 0 in the computed view
05:42:27     INFO -  8102 INFO Verifying the link text
05:42:27     INFO -  8103 INFO TEST-PASS | chrome://mochitests/content/browser/browser/devtools/styleinspector/test/browser_computedview_original-source-link.js | Validator function link text changed to display correct location: doc_sourcemaps.scss:4 returned true
05:42:27     INFO -  8104 INFO Toggling the pref
05:42:27     INFO -  8105 INFO Verifying that the link text has changed after the pref change
05:42:27     INFO -  8106 INFO TEST-PASS | chrome://mochitests/content/browser/browser/devtools/styleinspector/test/browser_computedview_original-source-link.js | Validator function link text changed to display correct location: doc_sourcemaps.css:1 returned true
05:42:27     INFO -  8107 INFO Toggling the pref again
05:42:27     INFO -  8108 INFO Testing that clicking on the link works
05:42:27     INFO -  8109 INFO Waiting for the toolbox to switch to the styleeditor
05:42:27     INFO -  8110 INFO Clicking the computedview stylesheet link
05:42:27     INFO -  8111 INFO TEST-PASS | chrome://mochitests/content/browser/browser/devtools/styleinspector/test/browser_computedview_original-source-link.js | Styleeditor panel switched to front
05:42:27     INFO -  8112 INFO Console message: [JavaScript Warning: "XUL box for h3 element contained an inline #text child, forcing all its children to be wrapped in a block." {file: "chrome://browser/content/devtools/styleeditor.xul" line: 0}]
05:42:27     INFO -  8113 INFO Stylesheet editor selected
05:42:27     INFO -  8114 INFO Stylesheet editor fully loaded
05:42:27     INFO -  8115 INFO TEST-PASS | chrome://mochitests/content/browser/browser/devtools/styleinspector/test/browser_computedview_original-source-link.js | cursor is at correct line number in original source
05:42:27     INFO -  8116 INFO Turning the pref devtools.styleeditor.source-maps-enabled off
05:42:27     INFO -  8117 INFO TEST-UNEXPECTED-FAIL | chrome://mochitests/content/browser/browser/devtools/styleinspector/test/browser_computedview_original-source-link.js | A promise chain failed to handle a rejection:  - at resource://app/modules/devtools/SplitView.jsm:208 - TypeError: this._root.ownerDocument.defaultView is null
05:42:27     INFO -  Stack trace:
05:42:27     INFO -      ASV_appendItem@resource://app/modules/devtools/SplitView.jsm:208:7
05:42:27     INFO -      ASV_appendTemplatedItem@resource://app/modules/devtools/SplitView.jsm:244:5
05:42:27     INFO -      StyleEditorUI.prototype._sourceLoaded@resource://app/modules/devtools/StyleEditorUI.jsm:438:1
05:42:27     INFO -      StyleSheetEditor.prototype.fetchSource/</<@resource:///modules/devtools/StyleSheetEditor.jsm:251:11
05:42:27     INFO -      Handler.prototype.process@resource://gre/modules/Promise.jsm -> resource://gre/modules/Promise-backend.js:865:23
05:42:27     INFO -      this.PromiseWalker.walkerLoop@resource://gre/modules/Promise.jsm -> resource://gre/modules/Promise-backend.js:744:7
05:42:27     INFO -      testScope/test_finish/<@chrome://mochikit/content/browser-test.js:940:11
05:42:27     INFO -      testScope/test_executeSoon/<.run@chrome://mochikit/content/browser-test.js:846:9
05:42:27     INFO -  8118 INFO TEST-OK | chrome://mochitests/content/browser/browser/devtools/styleinspector/test/browser_computedview_original-source-link.js | took 1544ms
