crash in OOM | large | mozalloc_abort(char const* const) | mozalloc_handle_oom(unsigned int) | moz_xmalloc | xul.dll@0x4c4b6c | xul.dll@0x41132a | xul.dll@0x413294 | xul.dll@0x4145c1 | xul.dll@0x414d04 | xul.dll@0x4149b8 | xul.dll@0x41603e | xul.dll@0x416
This bug was filed from the Socorro interface and is 
report bp-ac7bf86a-1df6-427e-a2b0-28f3f2150501.
=============================================================

Crashing Thread
Frame 	Module 	Signature 	Source
0 	mozalloc.dll 	mozalloc_abort(char const* const) 	memory/mozalloc/mozalloc_abort.cpp
1 	mozalloc.dll 	mozalloc_handle_oom(unsigned int) 	memory/mozalloc/mozalloc_oom.cpp
2 	mozalloc.dll 	moz_xmalloc 	memory/mozalloc/mozalloc.cpp
Ø 3 	xul.dll 	xul.dll@0x4c4b6c 	
Ø 4 	xul.dll 	xul.dll@0x41132a 	
Ø 5 	xul.dll 	xul.dll@0x413294 	
Ø 6 	xul.dll 	xul.dll@0x4145c1 	
Ø 7 	xul.dll 	xul.dll@0x414d04 	
Ø 8 	xul.dll 	xul.dll@0x4149b8 	
Ø 9 	xul.dll 	xul.dll@0x41603e 	
Ø 10 	xul.dll 	xul.dll@0x416744 	
Ø 11 	xul.dll 	xul.dll@0x1ebd09 	
Ø 12 	xul.dll 	xul.dll@0x416869 	
Ø 13 	xul.dll 	xul.dll@0x1ebcf6 	
Ø 14 	xul.dll 	xul.dll@0x3c7b57 	
Ø 15 	xul.dll 	xul.dll@0x106c5b 	
Ø 16 	xul.dll 	xul.dll@0x80045b 	
Ø 17 	xul.dll 	xul.dll@0x7f9f3f 	
Ø 18 	xul.dll 	xul.dll@0x1ec8d3 	
Ø 19 	xul.dll 	xul.dll@0x3fd2fc 	
20 	nss3.dll 	PR_Assert 	nsprpub/pr/src/io/prlog.c
21 	nss3.dll 	md_UnlockAndPostNotifies 	nsprpub/pr/src/md/windows/w95cv.c
22 	kernel32.dll 	CreateFileMappingW 	

A variant of https://bugzilla.mozilla.org/show_bug.cgi?id=1105876 ?
