devtools telemetry measures use large buckets
From bsmedberg:

">> Currently there are histograms with very large values for n_buckets. My understanding of our format is that we will end up submitting these histograms as very large arrays consisting mostly of zeros:
>>
>> [0,0,0,0,0,7,0,0,2,0,0,0,0,1,.....a thousand times]
>>
>> I'll assert that this is a waste of bandwidth (users and ours), storage and parsing time, and we should have a policy that limits the number of buckets to something reasonable (strawmen: 50? 100?).
>>
>> As a side-note, there are also n_buckets values represented as strings as as ints in Histograms.json. There are even a few which aren't numbers, for example POPUP_NOTIFICATION_MAINACTION_TRIGGERED_MS has "n_buckets": "80 + 1". Can anyone explain what happens in these cases and whether should we fix/validate this?"

Here's the list of devtools measures:

DEVTOOLS_DEBUGGER_RDP_REMOTE_LISTWORKERS_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_LISTTABS_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_STARTTRACE_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_PROPERTY_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_SCOPE_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_LISTADDONS_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_BINDINGS_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_RECONFIGURETAB_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_ADDONDETACH_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_THREADDETACH_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_CLIENTEVALUATE_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_INTERRUPT_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_CLIENTEVALUATE_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_STOPTRACE_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_PROTOCOLDESCRIPTION_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_TRACERDETACH_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_RELEASE_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_EVENTLISTENERS_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_PROTOTYPESANDPROPERTIES_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_ENUMPROPERTIES_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_LISTWORKERS_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_RESUME_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_GET_EXECUTABLE_LINES_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_SOURCES_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_RESUME_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_LISTTABS_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_PROTOCOLDESCRIPTION_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_FRAMES_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_THREADGRIPS_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_UNBLACKBOX_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_LISTPROCESSES_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_BLACKBOX_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_DETACH_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_RECONFIGURETHREAD_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_OWNPROPERTYNAMES_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_TABDETACH_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_TABDETACH_MS,1000
DEVTOOLS_DEBUGGER_RDP_REMOTE_RELEASEMANY_MS,1000
DEVTOOLS_DEBUGGER_RDP_LOCAL_THREADGRIPS_MS,1000
