this.layoutInspector is undefined when opening inspector
STRs:
- enable layout panel in devtools config
- open inspector, with any other panel than the layout panel selected by default

=> Error is logged
> TypeError: this.layoutInspector is undefined: onSidebarSelect@resource://gre/modules/commonjs/toolkit/loader.js -> resource://devtools/client/inspector/layout/layout.js:451:7
> emit@resource://gre/modules/commonjs/toolkit/loader.js -> resource://devtools/shared/event-emitter.js:191:13
> handleSelectionChange@resource://gre/modules/commonjs/toolkit/loader.js -> resource://devtools/client/inspector/toolsidebar.js:234:5
> select/<@resource://gre/modules/commonjs/toolkit/loader.js -> resource://devtools/client/shared/components/tabs/tabbar.js:139:9
> notifyAll@resource://gre/modules/commonjs/toolkit/loader.js -> resource://devtools/client/shared/vendor/react.js:842:9
> close@resource://gre/modules/commonjs/toolkit/loader.js -> resource://devtools/client/shared/vendor/react.js:16630:5
> closeAll@resource://gre/modules/commonjs/toolkit/loader.js -> resource://devtools/client/shared/vendor/react.js:19101:11
> perform@resource://gre/modules/commonjs/toolkit/loader.js -> resource://devtools/client/shared/vendor/react.js:19048:11
> perform@resource://gre/modules/commonjs/toolkit/loader.js -> resource://devtools/client/shared/vendor/react.js:16660:12
> flushBatchedUpdates@resource://gre/modules/commonjs/toolkit/loader.js -> resource://devtools/client/shared/vendor/react.js:1
