browser_423515.js leaks
[Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.9.1b2pre) Gecko/20081031 Minefield/3.1b2pre] (home, optim default) (W2Ksp4)

{
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1356 bytes during test execution (threshold set at 64 bytes)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsNavHistoryContainerResultNode with size 152 bytes each (304 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsNavHistoryFolderResultNode with size 176 bytes each (352 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsNavHistoryQuery with size 104 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsNavHistoryQueryOptions with size 52 bytes each (104 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsNavHistoryResult with size 144 bytes
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instances of nsNavHistoryResultNode with size 112 bytes each (224 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instances of nsStringBuffer with size 8 bytes each (96 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 4 instances of nsTArray_base with size 4 bytes each (16 bytes total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instances of nsVoidArray with size 4 bytes each (12 bytes total)
}
