Firefox 4.0b8 crash in [@ nsRegion::SetToElements(unsigned int) ] (Thumbnail Zoom extension)
Seen while reviewing crash stats. Currently ranks #40 in crash stats. http://tinyurl.com/2uldmn8 to the crashes which are all Windows. One comment mentions crash happened when restarting due to Add-ons incompatibility

Frame	Module	Signature [Expand]	Source
0	xul.dll	nsRegion::SetToElements	gfx/src/nsRegion.cpp:312
1	xul.dll	nsWindow::~nsWindow	widget/src/windows/nsWindow.cpp:503
2	mozalloc.dll	mozalloc.dll@0x106f	
3	xul.dll	nsWindow::`scalar deleting destructor'	
4	xul.dll	nsWindow::Release	widget/src/windows/nsWindow.cpp:505
5	xul.dll	nsRefPtr<nsIRunnable>::~nsRefPtr<nsIRunnable>	obj-firefox/xpcom/build/nsCOMPtr.cpp:81
6	xul.dll	nsFilePicker::~nsFilePicker	widget/src/windows/nsFilePicker.cpp:95
7	xul.dll	nsFilePicker::`scalar deleting destructor'	
8	xul.dll	nsFilePicker::Release	widget/src/windows/nsFilePicker.cpp:67
9	xul.dll	DoDeferredRelease<nsISupports*>	js/src/xpconnect/src/xpcjsruntime.cpp:550
10	xul.dll	nsContentTreeOwner::GetMainWidget	xpfe/appshell/src/nsContentTreeOwner.cpp:705
11	xul.dll	XPCJSRuntime::GCCallback	js/src/xpconnect/src/xpcjsruntime.cpp:847
12	nspr4.dll	PR_Unlock	nsprpub/pr/src/threads/combined/prulock.c:347
13	xul.dll	nsContentTreeOwner::GetMainWidget	xpfe/appshell/src/nsContentTreeOwner.cpp:705
14	xul.dll	nsXPConnect::Collect	js/src/xpconnect/src/nsXPConnect.cpp:405
