crash in uGlobalMenuDocListener::DoHandleMutations with GlobalMenu on Ubuntu
It's similar to bug 858670.

Signature 	uGlobalMenuDocListener::DoHandleMutations(nsIArray*) More Reports Search
UUID	f4b3a020-8517-41d6-9304-0867c2130405
Date Processed	2013-04-05 14:52:49
Uptime	10052
Last Crash	more than 3 months before submission
Install Age	2.8 hours since version was first installed.
Install Time	2013-04-05 12:04:56
Product	Firefox
Version	20.0
Build ID	20130329030832
Release Channel	release
OS	Linux
OS Version	0.0.0 Linux 3.2.0-39-generic #62-Ubuntu SMP Thu Feb 28 00:28:53 UTC 2013 x86_64
Build Architecture	amd64
Build Architecture Info	family 15 model 4 stepping 1
Crash Reason	SIGSEGV
Crash Address	0x0
App Notes 	
OpenGL: X.Org R300 Project -- Gallium 0.4 on ATI RV370 -- 2.1 Mesa 8.0.4 -- texture_from_pixmap
Processor Notes 	sp-processor06.phx1.mozilla.com_5882:2008; exploitablity tool: ERROR: unable to analyze dump
EMCheckCompatibility	True

Frame 	Module 	Signature 	Source
0 	libglobalmenu.so 	uGlobalMenuDocListener::DoHandleMutations 	uGlobalMenuDocListener.cpp:157
1 	libglobalmenu.so 	uGlobalMenuDocListener::HandleMutations 	uGlobalMenuDocListener.cpp:139
2 	libxul.so 	NS_InvokeByIndex_P 	xptcinvoke_x86_64_unix.cpp:164
3 	libxul.so 	XPCWrappedNative::CallMethod 	XPCWrappedNative.cpp:3086
4 	libxul.so 	XPC_WN_CallMethod 	XPCWrappedNativeJSOps.cpp:1488
5 	libxul.so 	js::InvokeKernel 	jscntxtinlines.h:373
6 	libxul.so 	js::Interpret 	jsinterp.cpp:2366
7 	libxul.so 	js::RunScript 	jsinterp.cpp:346
8 	libxul.so 	js::InvokeKernel 	jsinterp.cpp:404
9 	libxul.so 	js::Invoke 	jsinterp.h:112
10 	libxul.so 	js::BaseProxyHandler::call 	jsproxy.cpp:266
11 	libxul.so 	js::Wrapper::call 	jswrapper.cpp:298
12 	libxul.so 	js::CrossCompartmentWrapper::call 	jswrapper.cpp:631
13 	libxul.so 	proxy_Call 	jsproxy.cpp:2438
14 	libxul.so 	js::InvokeKernel 	jscntxtinlines.h:373
15 	libxul.so 	js::Invoke 	jsinterp.h:112
16 	libxul.so 	JS_CallFunctionValue 	jsapi.cpp:5817
17 	libxul.so 	mozilla::dom::MutationCallback::Call 	MutationObserverBinding.cpp:667
18 	libxul.so 	nsDOMMutationObserver::HandleMutation 	MutationObserverBinding.h:167
19 	libxul.so 	nsDOMMutationObserver::HandleMutationsInternal 	nsDOMMutationObserver.cpp:640
20 	libxul.so 	nsEventListenerManager::HandleEventSubType 	nsContentUtils.h:2289 

More reports at:
https://crash-stats.mozilla.com/report/list?signature=uGlobalMenuDocListener%3A%3ADoHandleMutations%28nsIArray*%29
