browser_522545.js | userTypedValue is empty to start - Got about:blank, expected null
TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | At least one tab ha a userTypedValue with userTypedClear with no loaded URL
TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | At least one tab ha it entry in SH
TEST-INFO | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | running test_getBrowserState_userTypedValue
TEST-INFO | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | running
NEXT ERROR TEST-UNEXPECTED-FAIL | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | userTypedValue is empty to start - Got about:blank, expected null
TEST-UNEXPECTED-FAIL | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | userTypedClear is 0 to start - Got 2, expected 0
TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | userTypedValue wa set when changing gURLBar.value
TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | userTypedClear wa not changed when changing gURLBar.value
TEST-UNEXPECTED-FAIL | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | sessionstore got correct userTypedValue - Got undefined, expected example.org
TEST-UNEXPECTED-FAIL | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | sessionstore got correct userTypedClear - Got undefined, expected 0
TEST-INFO | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | running test_userTypedClearLoadURI
TEST-INFO | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | running
TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | userTypedClear=2 caused userTypedValue to be loaded
TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | userTypedValue wa null after loading a URI
TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | userTypeClear reset to 0
TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | Address bar's value set after loading URI
TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | Only one browser window should be open eventually
INFO TEST-END | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser/browser_522545.js | finished in 2501ms
