Extremely frequent leak of 1 BackstagePass, 2 Mutex, 9 ProxyListener coming from New Tab Page (mochitest-other)
https://tbpl.mozilla.org/?tree=Fx-Team&rev=c7e4db80d280 is when bug 729111 landed. Note both the unstarred leak (until I star it a this) in WinXP debug and the starred failure on 10.5 debug mochitest-other, which wa both a test failure and this leak, but only starred a the test failure.

https://tbpl.mozilla.org/?rev=ee4e0c98cb02 wa when it wa merged to mozilla-central, with just one leak where I retriggered 10.5 debug while chasing this backward. From there, though, it explodes.

https://tbpl.mozilla.org/php/getParsedLog.php?id=10026260&tree=Fx-Team&full=1
Rev3 WINNT 5.1 fx-team debug test mochitest-other on 2012-03-13 00:46:30 PDT for push c7e4db80d280

TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 36892 byte during test execution
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of BackstagePass with size 24 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 2 instance of Mutex with size 12 byte each (24 byte total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 9 instance of ProxyListener with size 16 byte each (144 byte total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of ReentrantMonitor with size 16 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of SharedScriptableHelperForJSIID with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of XPCNativeScriptableInfo with size 8 byte each (16 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 9 instance of XPCNativeScriptableShared with size 232 byte each (2088 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 253 instance of XPCWrappedNative with size 56 byte each (14168 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 24 instance of XPCWrappedNativeProto with size 32 byte each (768 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 9 instance of imgCacheValidator with size 60 byte each (540 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 18 instance of imgRequest with size 176 byte each (3168 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 9 instance of imgRequestProxy with size 68 byte each (612 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDocShell::InterfaceRequestorProxy with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 45 instance of nsJSCID with size 52 byte each (2340 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 177 instance of nsJSIID with size 24 byte each (4248 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 18 instance of nsPrincipal with size 56 byte each (1008 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 9 instance of nsProgressNotificationProxy with size 28 byte each (252 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 18 instance of nsProperties with size 8 byte each (144 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 19 instance of nsSimpleURI with size 72 byte each (1368 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 56 instance of nsStringBuffer with size 8 byte each (448 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSystemPrincipal with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 36 instance of nsTArray_base with size 4 byte each (144 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 28 instance of nsVoidArray with size 4 byte each (112 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsWeakReference with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsXPCComponents with size 60 byte each (120 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsXPCComponents_Classes with size 20 byte each (40 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsXPCComponents_Interfaces with size 28 byte each (56 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsXPCComponents_Results with size 20 byte each (40 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsXPCComponents_Utils with size 24 byte each (48 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 18 instance of nsXPCWrappedJS with size 64 byte each (1152 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsXPCWrappedJSClass with size 44 byte each (88 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 172 instance of xptiInterfaceInfo with size 20 byte each (3440 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of xptiInterfaceInfoManager with size 128 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of xptiWorkingSet with size 88 byte
