Intermittent devtools/webconsole/test/test_cached_messages.html | property 'level' - got info, expected log | property '0' - got foobarBaz-info, expected foobarBaz-log | property 'type' - got null, expected undefined
https://tbpl.mozilla.org/php/getParsedLog.php?id=28316278&tree=Fx-Team

Windows XP 32-bit fx-team opt test mochitest-other on 2013-09-24 17:25:28 PDT for push 4e9ccedf993c
slave: t-xp32-ix-103

17:34:41 INFO - 33903 INFO TEST-START | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html
17:34:41 INFO - 33904 INFO TEST-INFO | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | cached console messages: 3
17:34:41 INFO - 33905 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | number of cached console message
17:34:41 INFO - 33906 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | number of argument
17:34:41 INFO - 33907 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property '_type'
17:34:41 INFO - 33908 ERROR TEST-UNEXPECTED-FAIL | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property 'level' - got info, expected log
17:34:41 INFO - 33909 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | filename: /test_cached_messages/ matched chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html
17:34:41 INFO - 33910 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property 'functionName'
17:34:41 INFO - 33911 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | timeStamp: /^\d+$/ matched 1380069281488
17:34:41 INFO - 33912 INFO TEST-INFO | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | checking array for property 'arguments'
17:34:41 INFO - 33913 ERROR TEST-UNEXPECTED-FAIL | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property '0' - got foobarBaz-info, expected foobarBaz-log
17:34:41 INFO - 33914 INFO TEST-INFO | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | checking object for property '1'
17:34:41 INFO - 33915 ERROR TEST-UNEXPECTED-FAIL | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property 'type' - got null, expected undefined
17:34:41 INFO - 33916 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | all expected message have been found
17:34:41 INFO - 33917 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | expected uncaught exception - TypeError: document.doTheImpossible is not a function at chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html:0
17:34:41 INFO - JavaScript error: chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html, line 0: document.doTheImpossible is not a function
17:34:41 INFO - 33918 INFO TEST-INFO | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | cached page errors: 2
17:34:41 INFO - 33919 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | number of cached page error
17:34:41 INFO - 33920 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property '_type'
17:34:41 INFO - 33921 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | errorMessage: /fooColor/ matched Expected color but found 'fooColor'. Error in parsing value for 'color'. Declaration dropped.
17:34:41 INFO - 33922 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | sourceName: /.+/ matched chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html
17:34:41 INFO - 33923 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property 'category'
17:34:41 INFO - 33924 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | timeStamp: /^\d+$/ matched 1380069281510
17:34:41 INFO - 33925 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property 'error'
17:34:41 INFO - 33926 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property 'warning'
17:34:41 INFO - 33927 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property 'exception'
17:34:41 INFO - 33928 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | property 'strict'
17:34:41 INFO - 33929 INFO TEST-PASS | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | all expected message have been found
17:34:41 INFO - 33930 INFO TEST-END | chrome://mochitests/content/chrome/toolkit/devtools/webconsole/test/test_cached_messages.html | finished in 35ms
