Intermittent browser_capabilities.js | leaked window property: makeWebBrowserPersist
https://tbpl.mozilla.org/php/getParsedLog.php?id=30225774&tree=Mozilla-Inbound

Ubuntu VM 12.04 mozilla-inbound opt test mochitest-browser-chrome on 2013-11-06 11:49:12 PST for push c904637b6e59
slave: tst-linux32-ec2-331

12:04:35 INFO - TEST-START | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js
12:04:35 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | everything allowed by default
12:04:35 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | all flag set to true
12:04:35 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | image not allowed
12:04:35 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | meta redirects not allowed
12:04:35 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | two capability disallowed
12:04:35 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | everything allowed again
12:04:35 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | all flag set to true
12:04:36 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | image not allowed
12:04:36 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | meta redirects not allowed
12:04:36 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | image not allowed anymore
12:04:36 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | meta redirects not allowed anymore
12:04:36 INFO - TEST-PASS | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | two capability disallowed
12:04:36 INFO - TEST-INFO | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | running test_finish
12:04:36 WARNING - TEST-UNEXPECTED-FAIL | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | leaked window property: makeWebBrowserPersist
12:04:36 INFO - INFO TEST-END | chrome://mochitests/content/browser/browser/components/sessionstore/test/browser_capabilities.js | finished in 992ms
