maximum recursion value is too low
User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.0; fi; rv:1.8.0.3) Gecko/20060426 Firefox/1.5.0.3
Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.0; fi; rv:1.8.0.3) Gecko/20060426 Firefox/1.5.0.3

I use javascript to handle data like below and a script use recursio to
select right line and values.Then I remove handled line and start handling again(that's recursio). Firefox announce that there is too many recursion
do you want to continue or cancel. This recursio should be adjustable somewhere
inside browser setting much higher.
11621.1 1444.8 50606.9 830403 000000 2
11626.0 1447.8 50611.8 830403 000100 2
11618.2 1454.1 50614.8 830403 000200 2
11604.2 1461.1 50607.9 830403 000300 2
11593.7 1467.9 50598.1 830403 000400 2
11576.9 1475.7 50595.2 830403 000500 2
11578.7 1482.0 50592.2 830403 000600 2
11583.2 1494.9 50586.3 830403 000700 2
11585.2 1499.4 50593.2 830403 000800 2
11592.4 1505.4 50593.2 830403 000900 2
11564.4 1504.2 50590.3 830403 001000 2
11557.2 1506.0 50593.2 830403 001100 2
11555.5 1512.1 50599.1 830403 001200 2
11572.5 1529.7 50600.1 830403 001300 2
11592.8 1501.9 50605.9 830403 001400 2
11594.3 1510.5 50613.8 830403 001500 2
11622.4 1503.9 50615.7 830403 001600 2
11622.3 1504.2 50600.1 830403 001700 2
11614.9 1494.1 50583.4 830403 001800 2
11622.1 1492.6 50584.4 830403 001900 2
11615.0 1486.6 50572.6 830403 002000 2
11621.2 1478.6 50570.7 830403 002100 2
11623.7 1473.2 50567.7 830403 002200 2
11625.0 1462.8 50571.6 830403 002300 2
11625.5 1459.2 50571.6 830403 002400 2
11631.9 1457.0 50569.7 830403 002500 2
11631.7 1451.5 50574.6 830403 002600 2
11634.2 1445.5 50572.6 830403 002700 2
11632.5 1437.4 50574.6 830403 002800 2
11637.5 1439.6 50573.6 830403 002900 2
11635.1 1437.7 50584.4 830403 003000 2
11639.1 1433.7 50588.3 830403 003100 2
11644.8 1430.8 50591.2 830403 003200 2
11644.7 1416.5 50593.2 830403 003300 2
11645.1 1413.3 50599.1 830403 003400 2
11663.4 1393.1 50595.2 830403 003500 2
11666.5 1403.7 50597.1 830403 003600 2
11684.1 1395.5 50601.0 830403 003700 2
11682.5 1401.7 50612.8 830403 003800 2
11690.4 1408.7 50624.6 830403 003900 2
11687.9 1400.5 50635.3 830403 004000 2
11683.3 1401.8 50636.3 830403 004100 2
11680.5 1396.3 50633.4 830403 004200 2
11698.1 1395.4 50634.4 830403 004300 2
11693.9 1387.0 50635.3 830403 004400 2
11694.5 1388.9 50634.4 830403 004500 2
11692.7 1389.6 50634.4 830403 004600 2
11682.3 1388.0 50633.4 830403 004700 2
11682.1 1389.8 50631.4 830403 004800 2
11686.1 1393.6 50629.5 830403 004900 2
11693.4 1390.6 50628.5 830403 005000 2
11697.8 1397.8 50629.5 830403 005100 2
11680.2 1398.7 50626.5 830403 005200 2
11684.1 1395.5 50625.5 830403 005300 2
11698.6 1391.5 50626.5 830403 005400 2
11707.9 1394.4 50632.4 830403 005500 2
11707.9 1393.8 50635.3 830403 005600 2
11707.9 1394.1 50642.2 830403 005700 2
11703.3 1403.6 50646.1 830403 005800 2
11694.1 1399.8 50647.1 830403 005900 2
11690.0 1404.7 50640.2 830403 010000 2
11686.6 1403.7 50637.3 830403 010100 2
11688.9 1399.4 50635.3 830403 010200 2
11698.2 1402.1 50634.4 830403 010300 2
11705.1 1403.2 50634.4 830403 010400 2
11711.8 1405.2 50636.3 830403 010500 2
11720.9 1410.3 50636.3 830403 010600 2
11724.3 1411.3 50637.3 830403 010700 2
11727.4 1414.1 50635.3 830403 010800 2
11725.6 1414.8 50633.4 830403 010900 2
11722.9 1415.4 50631.4 830403 011000 2
11728.0 1416.3 50630.4 830403 011100 2
11727.9 1417.8 50628.5 830403 011200 2
11729.5 1418.6 50625.5 830403 011300 2
11731.0 1420.9 50625.5 830403 011400 2
11731.5 1431.4 50625.5 830403 011500 2
11733.1 1432.2 50626.5 830403 011600 2
11730.2 1434.3 50625.5 830403 011700 2
11726.6 1435.0 50624.6 830403 011800 2
11723.9 1435.9 50623.6 830403 011900 2
11728.9 1438.3 50624.6 830403 012000 2
