qm-win2k3-03 mochitest intermittently leaking huge amount
One of the Win32 unittest box is occasionally leaking a huge amount of object during mochitest. I'm still tracking down the first occurrence of this, it's been doing this for a while. Sample output:

TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 294985 byte during test execution (should have leaked no more than 0 bytes)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 106 instance of AtomImpl with size 16 byte each (1696 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of BackstagePass with size 20 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of CSSImportRuleImpl with size 44 byte each (132 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 46 instance of CSSImportantRule with size 12 byte each (552 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of CSSLoaderImpl with size 188 byte each (376 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 10 instance of CSSNameSpaceRuleImpl with size 40 byte each (400 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of CSSParserImpl with size 4828 byte each (14484 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 417 instance of CSSStyleRuleImpl with size 40 byte each (16680 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of DOMCSSDeclarationImpl with size 16 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of DOMCSSStyleRuleImpl with size 24 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 7 instance of FontEntry with size 80 byte each (560 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of HTMLCSSStyleSheetImpl with size 28 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of HoldJSObjects with size 4 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of LiteralImpl with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of NameSpaceManagerImpl with size 44 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of PrincipalHolder with size 12 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of RDFServiceImpl with size 272 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 8 instance of StringAdopt with size 1 byte each (8 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of ThreadShutdownObserver with size 12 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of XPCContext with size 40 byte each (120 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 11 instance of XPCNativeInterface with size 24 byte each (264 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 11 instance of XPCNativeMember with size 12 byte each (132 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 34 instance of XPCNativeScriptableInfo with size 8 byte each (272 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of XPCNativeScriptableShared with size 108 byte each (216 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 10 instance of XPCNativeSet with size 8 byte each (80 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 68 instance of XPCWrappedNative with size 48 byte each (3264 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 35 instance of XPCWrappedNativeProto with size 28 byte each (980 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 34 instance of XPCWrappedNativeScope with size 60 byte each (2040 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of gfxFont with size 88 byte each (528 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of gfxGlyphExtents with size 40 byte each (120 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instance of gfxImageFrame with size 56 byte each (672 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 84 instance of gfxTextRun with size 80 byte each (6720 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 17 instance of gfxTextRunFactory with size 8 byte each (136 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instance of imgContainer with size 84 byte each (1008 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of imgLoader with size 12 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instance of imgRequest with size 136 byte each (1632 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instance of imgRequestProxy with size 32 byte each (384 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 4 instance of mozStorageConnection with size 60 byte each (240 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of mozStorageFunctionGetUnreversedHost with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of mozStorageService with size 24 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 46 instance of mozStorageStatement with size 32 byte each (1472 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsAnnotationService with size 80 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 65 instance of nsAtomList with size 8 byte each (520 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 230 instance of nsAttrSelector with size 28 byte each (6440 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsBaseAppShell with size 60 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsBaseURLParser with size 8 byte each (16 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 20 instance of nsBasicDecoderSupport with size 8 byte each (160 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsBasicEncoder with size 12 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsBidiKeyboard with size 40 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsBindingManager with size 252 byte each (504 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsBoxLayout with size 8 byte each (16 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSAural with size 136 byte each (816 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSBreaks with size 32 byte each (192 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSColor with size 80 byte each (480 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSColumn with size 24 byte each (144 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSContent with size 24 byte each (144 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 417 instance of nsCSSDeclaration with size 32 byte each (13344 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSDisplay with size 136 byte each (816 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSFont with size 88 byte each (528 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSList with size 56 byte each (336 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSMargin with size 532 byte each (3192 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 4 instance of nsCSSMediaRule with size 36 byte each (144 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCSSOMFactory with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSPage with size 24 byte each (144 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSPosition with size 96 byte each (576 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsCSSQuotes with size 20 byte each (40 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 61 instance of nsCSSRect with size 32 byte each (1952 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 434 instance of nsCSSRule with size 16 byte each (6944 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSSVG with size 252 byte each (1512 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of nsCSSScanner with size 1000 byte each (3000 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1371 instance of nsCSSSelector with size 36 byte each (49356 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 927 instance of nsCSSSelectorList with size 12 byte each (11124 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 7 instance of nsCSSStyleSheet with size 76 byte each (532 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 7 instance of nsCSSStyleSheetInner with size 76 byte each (532 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSTable with size 80 byte each (480 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSText with size 84 byte each (504 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSUserInterface with size 52 byte each (312 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 10 instance of nsCSSValue::Image with size 24 byte each (240 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 157 instance of nsCSSValue::URL with size 20 byte each (3140 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 61 instance of nsCSSValueList with size 12 byte each (732 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSValueListRect with size 16 byte each (96 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 40 instance of nsCSSValuePair with size 16 byte each (640 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsCSSXUL with size 56 byte each (336 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 475 instance of nsCStringKey with size 16 byte each (7600 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instance of nsCacheEntryDescriptor with size 24 byte each (288 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCacheEntryHashTable with size 36 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCacheService with size 124 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of nsCategoryObserver with size 56 byte each (168 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCharsetAlias2 with size 12 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCharsetConverterManager with size 48 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsChildContentList with size 12 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCollation with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCollationWin with size 16 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCommentNode with size 32 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsConsoleService with size 76 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsContentPolicy with size 32 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCookiePermission with size 32 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsCookieService with size 96 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDNSService with size 40 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDOMStorageManager with size 44 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDateTimeFormatWin with size 36 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDeque with size 52 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDocShell::InterfaceRequestorProxy with size 12 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsDocument with size 508 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsEffectiveTLDService with size 44 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsErrorService with size 128 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsEventListenerThisTranslator with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsExceptionManager with size 20 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsExtensibleStringBundle with size 16 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsExternalHelperAppService with size 36 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 25 instance of nsGenericDOMDataNode with size 28 byte each (700 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsGenericDOMNodeList with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 17 instance of nsGenericElement with size 24 byte each (408 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsGenericFactory with size 16 byte each (32 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLAnchorElement with size 40 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLBodyElement with size 32 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsHTMLDivElement with size 28 byte each (56 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLHeadElement with size 28 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLHtmlElement with size 28 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLLinkElement with size 56 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLParagraphElement with size 28 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLPreElement with size 28 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 3 instance of nsHTMLScriptElement with size 48 byte each (144 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLSpanElement with size 28 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLStyleSheet with size 92 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 6 instance of nsHTMLStyleSheet::GenericTableRule with size 8 byte each (48 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHTMLTitleElement with size 28 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 477 instance of nsHashKey with size 4 byte each (1908 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHashPropertyBag with size 44 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 71 instance of nsHashtable with size 44 byte each (3124 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHttpChannel with size 400 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHttpConnectionInfo with size 40 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsHttpHandler with size 340 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsIDNService with size 60 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsIOService with size 116 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsIdleServiceWin with size 16 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsImageFrame::IconLoad with size 24 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsJISx4051LineBreaker with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsJSContext with size 56 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 26 instance of nsJSID with size 32 byte each (832 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsJSRuntimeServiceImpl with size 24 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsLanguageAtomService with size 52 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsLayoutStatics with size 1 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsLayoutStylesheetCache with size 24 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsLoadGroup with size 4 byte each (8 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 12 instance of nsLocalFile with size 88 byte each (1056 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 7 instance of nsMediaList with size 16 byte each (112 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsMetaCharsetObserver with size 36 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsNativeThemeWin with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsNavBookmarks with size 192 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 21 instance of nsNodeInfo with size 28 byte each (588 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 2 instance of nsNodeInfoManager with size 36 byte each (72 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsNotifyAddrListener with size 176 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 4 instance of nsNullPrincipal with size 36 byte each (144 byte total)
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsObserverEntry with size 448 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsObserverService with size 44 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsOnloadBlocker with size 8 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsParserService with size 64 byte
TEST-UNEXPECTED-FAIL | runtests-leaks | leaked 1 instance of nsPermissionManager with size 96 byte
