Intermittent leak in 612662-1.svg
This may have been fixed by backing out another bug that caused other test failures, but filing just in case.

nsTraceRefcntImpl::DumpStatistics: 1194 entry
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 2216635 byte during test execution
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 131 instance of AtomImpl with size 20 byte each (2620 byte total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of BackstagePass with size 24 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of DR_State with size 40 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of DocumentViewerImpl with size 204 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 2 instance of GenericFactory with size 16 byte each (32 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of ImportRule with size 44 byte each (88 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 48 instance of ImportantRule with size 16 byte each (768 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of LiteralImpl with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of Loader with size 200 byte each (400 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of NameSpaceManagerImpl with size 48 byte
TEST-INFO | automationutils.processLeakLog() | leaked 14 instance of NameSpaceRule with size 40 byte each (560 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 31504 instance of PrefCallback with size 32 byte each (1008128 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of PresShell with size 384 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of PrincipalHolder with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of PtrAndPrincipalHashKey with size 16 byte each (32 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of RDFServiceImpl with size 276 byte
TEST-INFO | automationutils.processLeakLog() | leaked 21 instance of RasterImage with size 148 byte each (3108 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 6 instance of RuleHash with size 172 byte each (1032 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of SVGDocumentWrapper with size 40 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of StatementParams with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of StringAdopt with size 1 byte each (2 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 464 instance of StyleRule with size 40 byte each (18560 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 5 instance of URIAndPrincipalHashKey with size 12 byte each (60 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of UploadLastDir with size 56 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of VectorImage with size 76 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of XPCContext with size 40 byte
TEST-INFO | automationutils.processLeakLog() | leaked 23 instance of XPCNativeInterface with size 20 byte each (460 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 23 instance of XPCNativeMember with size 8 byte each (184 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of XPCNativeScriptableInfo with size 8 byte each (24 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of XPCNativeScriptableShared with size 160 byte each (480 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of XPCNativeSet with size 8 byte each (24 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of XPCWrappedNative with size 56 byte each (168 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of XPCWrappedNativeProto with size 32 byte each (64 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of XPCWrappedNativeScope with size 60 byte each (120 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 21 instance of gfxASurface with size 24 byte each (504 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 13 instance of imgCacheEntry with size 32 byte each (416 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of imgLoader with size 44 byte
TEST-INFO | automationutils.processLeakLog() | leaked 22 instance of imgRequest with size 172 byte each (3784 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 22 instance of imgRequestProxy with size 64 byte each (1408 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 464 instance of mozilla::css::Declaration with size 32 byte each (14848 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 95 instance of nsAtomList with size 8 byte each (760 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 296 instance of nsAttrSelector with size 32 byte each (9472 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsAutoCopyListener with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsBaseChannel with size 156 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsBaseDragService with size 88 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsBaseURLParser with size 12 byte each (24 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsBidiKeyboard with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsBindingManager with size 256 byte
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsBox with size 52 byte each (208 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsBoxLayout with size 12 byte each (24 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsCSSDocumentRule with size 36 byte
TEST-INFO | automationutils.processLeakLog() | leaked 6 instance of nsCSSGroupRule with size 28 byte each (168 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 5 instance of nsCSSMediaRule with size 36 byte each (180 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsCSSRuleProcessor with size 28 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsCSSScanner with size 1028 byte each (2056 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1608 instance of nsCSSSelector with size 40 byte each (64320 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1158 instance of nsCSSSelectorList with size 12 byte each (13896 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 10 instance of nsCSSStyleSheet with size 72 byte each (720 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 9 instance of nsCSSStyleSheetInner with size 80 byte each (720 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsCSSValue::Array with size 16 byte each (64 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 20 instance of nsCSSValue::Image with size 36 byte each (720 byte total)
