Intermittent TEST-UNEXPECTED-FAIL | leaked ~2MB - 4MB running mochitest-chrome
Seen 2 of these leaks, starting with https://hg.mozilla.org/integration/mozilla-inbound/rev/5a3e49205389.

https://tbpl.mozilla.org/php/getParsedLog.php?id=6464293&tree=Mozilla-Inbound
https://tbpl.mozilla.org/php/getParsedLog.php?id=6464765&tree=Mozilla-Inbound

Leak analyser give the same output for both of the leaks:
leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/dom/ipc/tests/test_process_error.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_button.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_colorpicker_popup.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_deck.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_dialogfocus.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_props.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_radio.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_richlist_direction.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_sorttemplate.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_tabindex.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_tree.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_tree_hier.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_tree_hier_cell.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_tree_single.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/toolkit/content/tests/chrome/test_tree_view.xul leaked 1 DOMWINDOW(s)
chrome://mochitests/content/chrome/widget/tests/test_wheeltransaction.xul leaked 1 DOMWINDOW(s)

...and the detail
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 2469307 byte during test execution
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 507 instance of AtomImpl with size 20 byte each (10140 byte total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of BackstagePass with size 24 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 14 instance of BodyRule with size 16 byte each (224 byte total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 2 instance of Connection with size 112 byte each (224 byte total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of DR_State with size 40 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of DocumentRule with size 36 byte
TEST-INFO | automationutils.processLeakLog() | leaked 10 instance of FontTableBlobData with size 12 byte each (120 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of GenericFactory with size 16 byte each (32 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of HoldJSObjects with size 4 byte
TEST-INFO | automationutils.processLeakLog() | leaked 14 instance of ImageObserver with size 8 byte each (112 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 16 instance of ImportRule with size 44 byte each (704 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 66 instance of ImportantRule with size 16 byte each (1056 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of InMemoryDataSource with size 152 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of LiteralImpl with size 12 byte each (24 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 98 instance of Loader with size 224 byte each (21952 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of LocalStoreImpl with size 40 byte
TEST-INFO | automationutils.processLeakLog() | leaked 32 instance of MediaRule with size 36 byte each (1152 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 16 instance of Mutex with size 12 byte each (192 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of NameSpaceManagerImpl with size 48 byte
TEST-INFO | automationutils.processLeakLog() | leaked 100 instance of NameSpaceRule with size 40 byte each (4000 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of Preferences with size 36 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of PrincipalHolder with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of PtrAndPrincipalHashKey with size 16 byte each (32 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of RDFContainerUtilsImpl with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of RDFServiceImpl with size 276 byte
TEST-INFO | automationutils.processLeakLog() | leaked 36 instance of RasterImage with size 168 byte each (6048 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 26 instance of ReentrantMonitor with size 16 byte each (416 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3029 instance of Rule with size 20 byte each (60580 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 56 instance of RuleHash with size 172 byte each (9632 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of Service with size 44 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of SharedScriptableHelperForJSIID with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 26 instance of Statement with size 60 byte each (1560 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of StatementParams with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 6 instance of StorageMemoryReporter with size 36 byte each (216 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of StringAdopt with size 1 byte each (2 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2880 instance of StyleRule with size 40 byte each (115200 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 5 instance of URIAndPrincipalHashKey with size 12 byte each (60 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of UploadLastDir with size 20 byte
TEST-INFO | automationutils.processLeakLog() | leaked 58 instance of ValueObserver with size 36 byte each (2088 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 83 instance of XPCContext with size 40 byte each (3320 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 81 instance of XPCLocaleCallbacks with size 32 byte each (2592 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 51 instance of XPCNativeInterface with size 20 byte each (1020 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 51 instance of XPCNativeMember with size 8 byte each (408 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 344 instance of XPCNativeScriptableInfo with size 8 byte each (2752 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 13 instance of XPCNativeScriptableShared with size 188 byte each (2444 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 18 instance of XPCNativeSet with size 8 byte each (144 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 349 instance of XPCWrappedNative with size 56 byte each (19544 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 86 instance of XPCWrappedNativeProto with size 32 byte each (2752 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 23 instance of XPCWrappedNativeScope with size 60 byte each (1380 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 72 instance of gfxASurface with size 24 byte each (1728 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 16 instance of gfxFont with size 112 byte each (1792 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 7 instance of gfxFontEntry with size 92 byte each (644 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 6 instance of gfxGlyphExtents with size 40 byte each (240 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 33 instance of gfxTextRun with size 120 byte each (3960 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 6 instance of gfxTextRunFactory with size 12 byte each (72 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of gfxUniscribeShaper with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 8 instance of imgCacheEntry with size 32 byte each (256 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of imgLoader with size 44 byte
TEST-INFO | automationutils.processLeakLog() | leaked 36 instance of imgRequest with size 184 byte each (6624 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 36 instance of imgRequestProxy with size 68 byte each (2448 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2880 instance of mozilla::css::Declaration with size 40 byte each (115200 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2329 instance of nsAtomList with size 8 byte each (18632 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1646 instance of nsAttrSelector with size 32 byte each (52672 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsBaseURLParser with size 12 byte each (36 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsBasicEncoder with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsBidiKeyboard with size 68 byte
TEST-INFO | automationutils.processLeakLog() | leaked 97 instance of nsBindingManager with size 256 byte each (24832 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsBoxLayout with size 12 byte each (24 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 6 instance of nsBoxObject with size 20 byte each (120 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 28 instance of nsCSSRect with size 32 byte each (896 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 28 instance of nsCSSRect_heap with size 40 byte each (1120 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 56 instance of nsCSSRuleProcessor with size 28 byte each (1568 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsCSSScanner with size 1032 byte each (3096 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 5668 instance of nsCSSSelector with size 40 byte each (226720 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3911 instance of nsCSSSelectorList with size 12 byte each (46932 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 113 instance of nsCSSStyleSheet with size 72 byte each (8136 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 112 instance of nsCSSStyleSheetInner with size 88 byte each (9856 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 294 instance of nsCSSValue::Array with size 16 byte each (4704 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 34 instance of nsCSSValue::Image with size 40 byte each (1360 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 520 instance of nsCSSValue::URL with size 28 byte each (14560 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsCSSValueGradient with size 56 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsCSSValueGradientStop with size 16 byte each (32 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2004 instance of nsCSSValueList with size 12 byte each (24048 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1346 instance of nsCSSValueList_heap with size 20 byte each (26920 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsCSSValuePair with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 215 instance of nsCSSValuePairList with size 20 byte each (4300 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 215 instance of nsCSSValuePairList_heap with size 28 byte each (6020 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1510 instance of nsCStringKey with size 20 byte each (30200 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsCategoryObserver with size 64 byte each (192 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 140 instance of nsChildContentList with size 20 byte each (2800 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsCollation with size 4 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsCollationWin with size 20 byte
TEST-INFO | automationutils.processLeakLog() | leaked 182 instance of nsCommentNode with size 64 byte each (11648 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsConsoleService with size 88 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsContentPolicy with size 36 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDNSService with size 60 byte
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsDOMClassInfo with size 20 byte each (60 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 13 instance of nsDOMDocumentType with size 100 byte each (1300 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDOMEventTargetHelper with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 14 instance of nsDOMNavigationTiming with size 160 byte each (2240 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDOMStorageManager with size 52 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDateTimeFormatWin with size 40 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDeque with size 52 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsDocShell::InterfaceRequestorProxy with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 97 instance of nsDocument with size 768 byte each (74496 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsErrorService with size 132 byte
TEST-INFO | automationutils.processLeakLog() | leaked 102 instance of nsEventListenerManager with size 88 byte each (8976 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsEventListenerThisTranslator with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsExceptionManager with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsExternalHelperAppService with size 48 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsFocusManager with size 56 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsFrameList with size 8 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsFrameScriptExecutor with size 20 byte
TEST-INFO | automationutils.processLeakLog() | leaked 256 instance of nsGenericDOMDataNode with size 60 byte each (15360 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 2395 instance of nsGenericElement with size 72 byte each (172440 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 16 instance of nsGlobalWindow with size 416 byte each (6656 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 14 instance of nsGlobalWindowObserver with size 16 byte each (224 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 14 instance of nsHTMLBodyElement with size 80 byte each (1120 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 97 instance of nsHTMLCSSStyleSheet with size 24 byte each (2328 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsHTMLDNSPrefetch::nsDeferrals with size 4136 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsHTMLDNSPrefetch::nsListener with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsHTMLDivElement with size 80 byte each (320 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 14 instance of nsHTMLInputElement with size 208 byte each (2912 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsHTMLParagraphElement with size 80 byte each (320 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsHTMLPreElement with size 80 byte each (320 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 13 instance of nsHTMLSpanElement with size 80 byte each (1040 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 97 instance of nsHTMLStyleSheet with size 76 byte each (7372 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 194 instance of nsHTMLStyleSheet::GenericTableRule with size 12 byte each (2328 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 7 instance of nsHTMLTextAreaElement with size 152 byte each (1064 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3854 instance of nsHashKey with size 8 byte each (30832 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 97 instance of nsHashPropertyBag with size 48 byte each (4656 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1087 instance of nsHashtable with size 44 byte each (47828 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 582 instance of nsHtml5AttributeName with size 16 byte each (9312 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 393 instance of nsHtml5ElementName with size 16 byte each (6288 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsHtml5HtmlAttributes with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsIDNService with size 64 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsIOService with size 128 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsImageFrame::IconLoad with size 56 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsInProcessTabChildGlobal with size 80 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsIsOfflineSQLFunction with size 12 byte each (24 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsJAR with size 144 byte each (432 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 97 instance of nsJARChannel with size 216 byte each (20952 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 83 instance of nsJARInputStream with size 120 byte each (9960 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 83 instance of nsJARInputThunk with size 52 byte each (4316 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsJARProtocolHandler with size 28 byte
TEST-INFO | automationutils.processLeakLog() | leaked 97 instance of nsJARURI with size 44 byte each (4268 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsJISx4051LineBreaker with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 59 instance of nsJSCID with size 52 byte each (3068 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 81 instance of nsJSContext with size 64 byte each (5184 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 5 instance of nsJSID with size 36 byte each (180 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 204 instance of nsJSIID with size 24 byte each (4896 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsLayoutStatics with size 1 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsLayoutStylesheetCache with size 36 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsLoadGroup with size 8 byte
TEST-INFO | automationutils.processLeakLog() | leaked 105 instance of nsLocalFile with size 88 byte each (9240 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsLocation with size 28 byte each (84 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 48 instance of nsMediaList with size 24 byte each (1152 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsNativeTheme with size 120 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsNativeThemeWin with size 128 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsNavigator with size 44 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1459 instance of nsNodeInfo with size 84 byte each (122556 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 111 instance of nsNodeInfoManager with size 44 byte each (4884 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 4 instance of nsNodeWeakReference with size 16 byte each (64 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsNotifyAddrListener with size 180 byte
TEST-INFO | automationutils.processLeakLog() | leaked 113 instance of nsNullPrincipal with size 36 byte each (4068 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 113 instance of nsNullPrincipalURI with size 36 byte each (4068 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsObserverService with size 48 byte
TEST-INFO | automationutils.processLeakLog() | leaked 97 instance of nsOnloadBlocker with size 12 byte each (1164 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsParserService with size 68 byte
TEST-INFO | automationutils.processLeakLog() | leaked 19 instance of nsPersistentProperties with size 80 byte each (1520 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 3 instance of nsPrefBranch with size 80 byte each (240 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 233 instance of nsPrincipal with size 76 byte each (17708 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsPrivateBrowsingObserver with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 36 instance of nsProperties with size 8 byte each (288 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 900 instance of nsPseudoClassList with size 12 byte each (10800 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 11 instance of nsRDFResource with size 28 byte each (308 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsRangeUtils with size 12 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsRect with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsRepeatService with size 24 byte
TEST-INFO | automationutils.processLeakLog() | leaked 2 instance of nsReverseStringSQLFunction with size 12 byte each (24 byte total)
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSameOriginChecker with size 16 byte
TEST-INFO | automationutils.processLeakLog() | leaked 1 instance of nsSampleWordBreaker with size 12 byte
