Intermittent mochitest-chrome leak of 366891 byte (1 AtomImpl, 1 BackstagePass, 1 CondVar, 1 DR_State, 1 DocumentRule)
Rev3 WINNT 5.1 mozilla-central debug test mochitest-other on 2012-05-09 09:29:54 PDT for push d3f81d81f664

slave: talos-r3-xp-073

https://tbpl.mozilla.org/php/getParsedLog.php?id=11611562&tree=Firefox

{
== BloatView: ALL (cumulative) LEAK AND BLOAT STATISTICS, default process 1892

|<----------------Class--------------->|<-----Bytes------>|<----------------Objects---------------->|<--------------References-------------->|
Per-Inst Leaked Total Rem Mean StdDev Total Rem Mean StdDev
0 TOTAL 15 366891 364698479 13522 (28702.22 +/- 12054.26) 123534927 8512 (298658535603.77 +/- 0.00)
12 AtomImpl 24 3888 21120 162 ( 2813.03 +/- 628.68) 1464366 1053 (21156.42 +/- 5799.88)
14 BackstagePass 24 24 1 1 ( 1.00 +/- 0.00) 1152144 40 ( 316.63 +/- 38.81)
48 CondVar 16 16 445 1 ( 16.46 +/- 9.28) 0 0 ( 0.00 +/- 0.00)
65 DR_State 32 32 1 1 ( 1.00 +/- 0.00) 0 0 ( 0.00 +/- 0.00)
81 DocumentRule 36 36 26 1 ( 1.49 +/- 0.50) 78 1 ( 2.14 +/- 0.70)
85 ExpirationTrackerObserver 16 32 38 2 ( 5.23 +/- 1.00) 202 2 ( 12.60 +/- 2.84)
93 GenericFactory 16 32 356 2 ( 178.50 +/- 102.55) 513429 3 ( 331.93 +/- 40.93)
101 HttpBaseChannel 336 336 341 1 ( 11.70 +/- 7.23) 18802 1 ( 53.67 +/- 43.78)
107 ImportRule 44 88 335 2 ( 19.16 +/- 5.08) 670 2 ( 19.64 +/- 5.14)
108 ImportantRule 16 688 1791 43 ( 166.24 +/- 43.35) 20980 43 ( 251.51 +/- 91.92)
125 LiteralImpl 12 12 787 1 ( 64.94 +/- 23.58) 88600 1 ( 898.33 +/- 608.38)
127 Loader 200 200 5767 1 ( 182.13 +/- 75.45) 14591 1 ( 182.26 +/- 75.82)
130 MediaRule 36 144 991 4 ( 80.50 +/- 25.66) 2973 4 ( 81.06 +/- 25.81)
149 MemoryReporter_StorageSQLite 12 12 1 1 ( 1.00 +/- 0.00) 36 1 ( 6.79 +/- 3.22)
156 Mutex 12 192 9258 16 ( 141.93 +/- 24.72) 0 0 ( 0.00 +/- 0.00)
158 NameSpaceManagerImpl 48 48 1 1 ( 1.00 +/- 0.00) 3 2 ( 1.50 +/- 0.58)
159 NameSpaceRule 40 480 4326 12 ( 143.61 +/- 65.32) 14523 12 ( 139.48 +/- 66.80)
190 Preferences 32 32 1 1 ( 1.00 +/- 0.00) 61949 1 ( 36.24 +/- 22.76)
192 PrincipalHolder 16 16 38 1 ( 7.68 +/- 4.18) 406 1 ( 6.12 +/- 2.93)
205 RDFServiceImpl 276 276 1 1 ( 1.00 +/- 0.00) 3466 3 ( 113.06 +/- 37.15)
209 RasterImage 216 2592 1088 12 ( 146.17 +/- 52.71) 109284 24 ( 249.70 +/- 87.30)
211 ReentrantMonitor 16 464 12786 29 ( 117.91 +/- 67.44) 0 0 ( 0.00 +/- 0.00)
216 Rule 20 9700 84481 485 ( 7487.45 +/- 2127.87) 4416173 485 (10672.13 +/- 2439.20)
223 Service 68 68 1 1 ( 1.00 +/- 0.00) 238 1 ( 15.28 +/- 4.01)
226 SharedScriptableHelperForJSIID 12 12 1 1 ( 1.00 +/- 0.00) 37854 13 ( 98.86 +/- 23.20)
237 StorageSQLiteMultiReporter 52 52 1 1 ( 1.00 +/- 0.00) 42 1 ( 7.90 +/- 4.07)
238 StringAdopt 1 2 89432 2 ( 3.93 +/- 1.33) 0 0 ( 0.00 +/- 0.00)
241 StyleRule 40 18640 78758 466 ( 7241.34 +/- 2036.36) 4397782 466 (10448.02 +/- 2340.06)
253 URIAndPrincipalHashKey 12 60 7679 5 ( 8.27 +/- 2.10) 0 0 ( 0.00 +/- 0.00)
257 UploadLastDir 20 20 1 1 ( 1.00 +/- 0.00) 8 1 ( 2.00 +/- 0.76)
262 ValueObserver 36 2880 118 80 ( 69.00 +/- 34.57) 62199 80 ( 325.45 +/- 23.70)
272 XPCContext 40 80 4030 2 ( 149.96 +/- 76.14) 0 0 ( 0.00 +/- 0.00)
276 XPCNativeInterface 20 700 4640 35 ( 236.20 +/- 37.14) 0 0 ( 0.00 +/- 0.00)
277 XPCNativeMember 8 280 241359 35 ( 262.52 +/- 56.10) 0 0 ( 0.00 +/- 0.00)
278 XPCNativeScriptableInfo 8 3840 44778 480 ( 2486.11 +/- 511.90) 0 0 ( 0.00 +/- 0.00)
279 XPCNativeScriptableShared 232 2088 45281 9 ( 81.35 +/- 10.28) 0 0 ( 0.00 +/- 0.00)
280 XPCNativeSet 8 120 24710 15 ( 206.33 +/- 30.06) 0 0 ( 0.00 +/- 0.00)
