Intermittent Linux64 crashtest leak of 600276, 601972, 604948 byte (128 AtomImpl, 1 BackstagePass, 1 DR_State, 1 DocumentRule, 3 ExpirationTrackerObserver) where the list of leaked URIs end with http://evsecure-crl.verisign.com/*.crl
Rev3 Fedora 12x64 mozilla-inbound debug test crashtest on 2012-10-11 11:42:47 PDT for push 16f4cd5455ab

slave: talos-r3-fed64-042

https://tbpl.mozilla.org/php/getParsedLog.php?id=16020704&tree=Mozilla-Inbound

{
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 601972 byte during test execution
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 128 instance of AtomImpl with size 40 byte each (5120 byte total)
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of BackstagePass with size 48 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of DR_State with size 48 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 1 instance of DocumentRule with size 72 byte
TEST-UNEXPECTED-FAIL | automationutils.processLeakLog() | leaked 3 instance of ExpirationTrackerObserver with size 32 byte each (96 byte total)
}

{

== BloatView: ALL (cumulative) LEAK AND BLOAT STATISTICS, default process 2171

|<----------------Class--------------->|<-----Bytes------>|<----------------Objects---------------->|<--------------References-------------->|
Per-Inst Leaked Total Rem Mean StdDev Total Rem Mean StdDev
0 TOTAL 26 601972 86061778 15746 (162055.13 +/- 281934.67) 119593558 7991 (925502835616.78 +/- 0.00)
12 AtomImpl 40 5120 7995 128 ( 1941.62 +/- 1073.46) 1410315 261 (14268.11 +/- 11917.46)
15 BackstagePass 48 48 1 1 ( 1.00 +/- 0.00) 1552 22 ( 190.65 +/- 90.59)
81 DR_State 48 48 1 1 ( 1.00 +/- 0.00) 0 0 ( 0.00 +/- 0.00)
98 DocumentRule 72 72 3 1 ( 1.80 +/- 0.84) 11 1 ( 2.52 +/- 1.03)
102 ExpirationTrackerObserver 32 96 39 3 ( 8.05 +/- 1.95) 146 3 ( 17.39 +/- 3.76)
113 GenericFactory 32 64 294 2 ( 147.50 +/- 84.66) 266002 3 ( 274.62 +/- 25.55)
118 GroupRule 56 336 647 6 ( 41.68 +/- 22.37) 2580 6 ( 53.41 +/- 35.32)
124 HttpBaseChannel 720 720 16 1 ( 1.42 +/- 0.92) 1151 1 ( 12.38 +/- 5.62)
133 ImageValue 120 2280 80 19 ( 34.50 +/- 14.37) 152 19 ( 35.86 +/- 11.51)
134 ImportRule 80 160 10 2 ( 5.50 +/- 2.71) 21 2 ( 6.00 +/- 2.95)
135 ImportantRule 32 1536 244 48 ( 64.83 +/- 19.80) 46631 48 ( 125.34 +/- 25.36)
154 LiteralImpl 24 24 2191 1 ( 23.32 +/- 3.78) 12423 1 ( 41.52 +/- 30.59)
156 Loader 312 312 4778 1 ( 94.42 +/- 38.03) 10800 1 ( 94.59 +/- 37.40)
160 MaskLayerImageCache 48 48 1 1 ( 1.00 +/- 0.00) 0 0 ( 0.00 +/- 0.00)
168 MediaRule 72 360 644 5 ( 40.79 +/- 22.33) 2569 5 ( 52.57 +/- 35.30)
