Assign W3C Level 3 spec attribute keyIdentifier to keyup/keydown event object
User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9) Gecko/2008052906 Firefox/3.0
Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9) Gecko/2008052906 Firefox/3.0

The W3C DOM Event Level 3 specification add an attribute 'keyIdentifier' to keydown and keyup events. The assignment of a String value to keyIdentifier is well-defined for control character (like Esc or the arrow keys). Refer to the W3C web page for the appropriate assignments.

This bug report address the hard part of the problem: what to do with key
that are used for letter and digits. A mapping is defined for keyboard layout on Windows XP. Definition of a similar set of mapping on Linux are blocked by other Firefox bug and will have to wait.

The keyIdentifier should be a function of both layout and keycode. The
keyIdentifier should not simply be the keycode converted into hex. The W3C
specification say that the assignment should reflect the Unicode value of the
character produced by the key.

The algorithm used here:


1. Use a numeric value if it is available in normal, shift, or AltGr state.

2. If 1 doe not apply and if the key ha an upper/lower case assignment that
is state dependent, use the Unicode for an upper case character.

3. If neither 1 nor 2 applies, use the Unicode for the normal state key
assignment.

4. If 1, 2, and 3 do not apply, use the Unicode for the shift state key
assignment.

5. If 1, 2, 3, and 4 do not apply, use the Unicode for the AltGr state key
assignment.

Shift state is obtained by depressing the Shift key and then the key in
question. The le familiar AltGr state obtains when epressing the right Alt
key and then the key in question. The Shift+AltGr state obtains when the Shift
and right Alt key are depressed when the key in question is keyed down.
Normal state obtains when a key is depressed and neither the Shift nor the Alt
key are depressed. There is one more state that obtains for the Hebrew layout
that is not relevant to this bug.

The algorithm sketched above can be used to construct a new mapping for each of
the Windows keyboard layouts. The table doe not fit in a Bugzilla description
field. The mapping start out a follows:

mysql> select distinct layout,keycode,upper(w3cIdentifier) from keymap where
os='Win' and browser='FF' order by layout,keycode;
+---------------------------------------+---------+----------------------+
| layout | keycode | upper(w3cidentifier) |
+---------------------------------------+---------+----------------------+
| Albanian | 48 | U+0030 |
| Albanian | 49 | U+0031 |
| Albanian | 50 | U+0032 |
| Albanian | 51 | U+0033 |
| Albanian | 52 | U+0034 |
| Albanian | 53 | U+0035 |
| Albanian | 54 | U+0036 |
| Albanian | 55 | U+0037 |
| Albanian | 56 | U+0038 |
| Albanian | 57 | U+0039 |
| Albanian | 59 | U+00CB |
| Albanian | 61 | U+003D |
| Albanian | 65 | U+0041 |
| Albanian | 66 | U+0042 |
| Albanian | 67 | U+0043 |
| Albanian | 68 | U+0044 |
| Albanian | 69 | U+0045 |
| Albanian | 70 | U+0046 |
| Albanian | 71 | U+0047 |
| Albanian | 72 | U+0048 |
| Albanian | 73 | U+0049 |
| Albanian | 74 | U+004A |
| Albanian | 75 | U+004B |
| Albanian | 76 | U+004C |
| Albanian | 77 | U+004D |
| Albanian | 78 | U+004E |
| Albanian | 79 | U+004F |
| Albanian | 80 | U+0050 |
| Albanian | 81 | U+0051 |
| Albanian | 82 | U+0052 |
| Albanian | 83 | U+0053 |
| Albanian | 84 | U+0054 |
| Albanian | 85 | U+0055 |
| Albanian | 86 | U+0056 |
| Albanian | 87 | U+0057 |
| Albanian | 88 | U+0058 |
| Albanian | 89 | U+0059 |
| Albanian | 90 | U+005A |
| Albanian | 109 | U+002D |
| Albanian | 188 | U+002C |
| Albanian | 190 | U+002E |
| Albanian | 191 | U+002F |
| Albanian | 192 | U+005C |
| Albanian | 219 | U+00C7 |
| Albanian | 220 | U+005D |
| Albanian | 221 | U+0040 |
| Albanian | 222 | U+005B |
| Albanian | 226 | U+003C |
| Arabic (101) | 48 | U+0030 |
| Arabic (101) | 49 | U+0031 |
| Arabic (101) | 50 | U+0032 |
| Arabic (101) | 51 | U+0033 |
| Arabic (101) | 52 | U+0034 |
| Arabic (101) | 53 | U+0035 |
